FUID,Number_of_Occurrences,Platforms,Platform_Count
FUID-BANSI:02130-35950-8.5,2,AZURE,1
FUID-ACCEL:00933-2136-00,2,"AWS, GCP",2
FUID-BAYER:02240-56980-00,2,AZURE,1
FUID-APPS4:00107-2121-22.04,2,"AZURE, GCP",2
FUID-AVIAT:00363-9019-00,2,"AWS, AZURE",2
FUID-CUMUL:00546-39595-00,2,"AWS, AZURE",2
FUID-BCLOU:00337-56961-00,2,AZURE,1
FUID-BCLOU:00337-56960-00,2,AZURE,1
FUID-FIRST:16920-65531-00,2,AZURE,1
FUID-RIDGE:05027-29723-00,2,AWS,1
FUID-KORE:04681-17866-00,2,"AWS, AZURE",2
FUID-EKIME:00928-2091-00,2,"AZURE, GCP",2
FUID-HYPER:00632-2133-00,2,"AWS, GCP",2
FUID-BASIS:04669-17807-00,2,"AWS, AZURE",2
FUID-BLACK:09813-39525-00,2,"AWS, AZURE",2
FUID-ASKFO:01986-45476-11,2,AZURE,1
FUID-SOFTW:03224-12073-00,2,AWS,1
FUID-SOFTW:03224-12072-00,2,AWS,1
FUID-SOFTW:03224-12071-00,2,AWS,1
FUID-Y42:00896-1957-42,2,"AWS, GCP",2
FUID-LIGAD:06455-56843-00,2,AZURE,1
FUID-IBMSO:02537-9146-00,2,"AWS, AZURE",2
FUID-ATTAC:02659-62587-00,2,AZURE,1
FUID-INFRA:00476-26816-00,2,AZURE,1
FUID-INFRA:00476-35856-00,2,AZURE,1
FUID-TERAM:02800-9005-00,2,"AWS, AZURE",2
FUID-KORE:04681-17873-00,2,"AWS, AZURE",2
FUID-PCLOU:00218-62464-00,2,AZURE,1
FUID-HOOTS:09832-39572-00,2,"AWS, AZURE",2
FUID-KORE:04681-17874-00,2,"AWS, AZURE",2
FUID-HYPER:00632-2082-00,2,"AWS, GCP",2
FUID-INFRA:00476-35909-00,2,AZURE,1
FUID-KRATI:06355-26729-00,2,AZURE,1
FUID-SEMAR:00926-2078-00,2,"AZURE, GCP",2
FUID-SPLAS:11940-48327-00,2,AZURE,1
FUID-TRUEE:00925-2073-00,2,"AWS, GCP",2
FUID-COGIN:00923-2071-00,2,"AWS, GCP",2
FUID-WEBSO:02553-29707-00,2,"AWS, AZURE",2
FUID-BCLOU:00337-56938-00,2,AZURE,1
FUID-BCLOU:00337-56937-00,2,AZURE,1
FUID-PRIME:07156-29703-00,2,"AWS, AZURE",2
FUID-INTAP:06335-26739-00,2,AZURE,1
FUID-VEEAM:02452-9059-00,2,"AWS, AZURE",2
FUID-EPAY:06392-26745-00,2,"AWS, AZURE",2
FUID-COGNO:01048-71790-00,2,AZURE,1
FUID-START:00918-2049-00,2,"AZURE, GCP",2
FUID-BIRLA:06239-56917-00,2,AZURE,1
FUID-INFOS:02446-29681-00,2,"AWS, AZURE",2
FUID-KORE:04681-17872-00,2,"AWS, AZURE",2
FUID-KORE:04681-17871-00,2,"AWS, AZURE",2
FUID-KORE:04681-17870-00,2,"AWS, AZURE",2
FUID-KORE:04681-17869-00,2,"AWS, AZURE",2
FUID-CONSO:11090-45388-00,2,AZURE,1
FUID-REACH:02326-26689-00,2,AZURE,1
FUID-SOLAR:03956-29754-00,2,"AWS, AZURE",2
FUID-CORRE:11972-48446-00,2,AZURE,1
FUID-AMPER:00969-2275-00,2,"AZURE, GCP",2
